Country,Year,Language,geo_point,Country Code,Debt,Account Balance,Corruption,Foreign_Investment,GDP,Inflation,Ethnicity,Religion,Unemployement,Natural Resources,Infant Mortality
"Korea, Dem. People’s Rep.",2018,0.0021,POINT(125.767625 39.0431),PRK,,,14,,,,0.002,0.6604,3.302999973,,13.7
"Korea, Dem. People’s Rep.",2019,0.0021,POINT(125.767625 39.0431),PRK,,,14,,,,0.002,0.6604,3.301000118,,13.7
American Samoa,2018,0.1733,,ASM,,,,,2.470435213,,0,0.6395,9.199999809,0,
American Samoa,2019,0.1733,,ASM,,,,,2.470435213,,0,0.6395,9.199999809,0,
Aruba,2018,0.3889,,ABW,,5.329558252,,6.015721969,0.855431102,3.580394283,0,0.4107,8.899999619,0.003509322,
Aruba,2019,0.3889,,ABW,,5.329558252,,6.015721969,0.855431102,3.580394283,0,0.4107,8.899999619,0.003509322,
Bermuda,2018,0,,BMU,,15.08240774,,0.985053866,-2.815614911,,0,0.7112,8.93999958,0,
Bermuda,2019,0,,BMU,,15.08240774,,0.985053866,-2.815614911,,0,0.7112,8.93999958,0,
Comoros,2018,0.0103,POINT(44.283296 -12.204518),COM,16.46226726,-2.398514746,27,0.582358621,1.140509904,-4.294873315,0,0.0137,3.710000038,2.384124779,51.3
Comoros,2019,0.0103,POINT(44.283296 -12.204518),COM,16.46226726,-2.398514746,27,0.582358621,1.140509904,-4.294873315,0,0.0137,3.703000069,2.384124779,51.3
Timor-Leste,2018,0.5261,POINT(125.837576 -8.515198),TLS,6.69447086,-7.405935098,35,1.856864183,0.810281645,0.557215537,0,0.4254,2.999000072,31.45844516,39.3
Timor-Leste,2019,0.5261,POINT(125.837576 -8.515198),TLS,6.69447086,-7.405935098,35,1.856864183,0.810281645,0.557215537,0,0.4254,3.007999897,31.45844516,39.3
Faroe Islands,2018,0,,FRO,,7.800858762,,,,,0,0.3147,3.700000048,0,
Faroe Islands,2019,0,,FRO,,7.800858762,,,,,0,0.3147,3.700000048,0,
French Guiana,2018,0.1154,,,,,,,,,0,0.4959,,,
French Guiana,2019,0.1154,,,,,,,,,0,0.4959,,,
French Polynesia,2018,0.6078,,PYF,,,,0.286427714,2.07068164,,0,0.5813,12.01599979,9.64E-04,
French Polynesia,2019,0.6078,,PYF,,,,0.286427714,2.07068164,,0,0.5813,11.97200012,9.64E-04,
Gaza Strip,2018,0.0104,,,,,,,,,0,0.0342,,,
Gaza Strip,2019,0.0104,,,,,,,,,0,0.0342,,,
Greenland,2018,0.2188,,GRL,,,,,3.487011391,,0,0.4592,9.100000381,0,
Greenland,2019,0.2188,,GRL,,,,,3.487011391,,0,0.4592,9.100000381,0,
Guadeloupe,2018,0.0933,,,,,,,,,0,0.3069,,,
Guadeloupe,2019,0.0933,,,,,,,,,0,0.3069,,,
